artist,weekend,pop,month,score,genre,minprice
Maroon,0,843393,9,88,Rock,49.5
Justin Timberlake,0,843393,12,85,Rock,49.5
Childish Gambino,0,998537,10,87,Hip-Hop/Rap,49.5
Childish Gambino,1,1257676,9,87,Hip-Hop/Rap,49.5
Maroon,1,1257676,6,88,Rock,49.5
Justin Timberlake,0,1257676,1,85,Rock,49.5
Justin Timberlake,1,1409019,1,85,Rock,49.5
Maroon,0,1409019,6,88,Rock,49.5
Childish Gambino,1,2718782,9,87,Hip-Hop/Rap,49.5
Zedd,1,2718782,6,85,Family,49.5
Zedd,1,2718782,6,85,Family,49.5
Maroon,0,2718782,9,88,Rock,49.5
Bazzi,1,226877,9,83,Undefined,49
Florida Georgia Line,0,226877,12,85,Country,49
Florida Georgia Line,0,226877,12,85,Country,49
Florida Georgia Line,0,226877,12,85,Country,49
Florida Georgia Line,1,226877,12,85,Country,49
Florida Georgia Line,1,226877,12,85,Country,49
Dustin Lynch,1,226877,9,73,Undefined,49
Dua Lipa,1,226877,9,92,Undefined,49
Bad Bunny,1,417650,6,95,World,49
Ozuna,1,417650,6,95,World,49
Luke Bryan,0,69079,6,79,Country,48.17
Camila Cabello,0,400070,8,88,Rock,47.5
Taylor Swift,0,400070,8,89,Rock,47.5
Camila Cabello,1,2195914,9,88,Rock,47.5
Taylor Swift,1,2195914,9,89,Rock,47.5
P!nk,0,111542,4,82,Rock,47.45
The Chainsmokers,0,3884307,6,88,Dance/Electronic,47.35
Justin Timberlake,1,49891,11,85,Rock,47.14
Niall Horan,0,62298,9,78,Rock,47
Maren Morris,0,62298,9,82,Rock,47
Maren Morris,1,102436,9,82,Rock,47
Niall Horan,1,102436,9,78,Rock,47
Kenny Chesney,1,1553165,6,76,Country,47
Kenny Chesney,1,2718782,7,76,Country,47
Drake,0,191180,7,99,Hip-Hop/Rap,46.5
Migos,0,191180,7,90,Hip-Hop/Rap,46.5
Camila Cabello,0,318416,9,88,Rock,46.5
Taylor Swift,0,318416,9,89,Rock,46.5
Maroon,0,318416,9,88,Rock,46.5
Maroon,0,378715,6,88,Rock,46.5
Taylor Swift,1,634464,8,89,Rock,46.5
Camila Cabello,1,634464,8,88,Rock,46.5
Taylor Swift,1,843393,9,89,Rock,46.5
Camila Cabello,1,843393,9,88,Rock,46.5
Leon Bridges,0,3884307,9,76,R&B,46.5
Janelle Monae,0,318416,7,76,R&B,46
J Balvin,1,417650,10,95,Hip-Hop/Rap,45.95
Maroon,1,352957,6,88,Rock,45.75
Camila Cabello,0,42774,7,88,Rock,45.5
Taylor Swift,0,42774,7,89,Rock,45.5
Taylor Swift,1,148483,9,89,Rock,45.5
Camila Cabello,1,148483,9,88,Rock,45.5
Taylor Swift,0,1553165,7,89,Rock,45.5
Camila Cabello,0,1553165,7,88,Rock,45.5
Darius Rucker,1,599164,9,71,Country,45.26
Maroon,1,90116,6,88,Rock,45.25
Janelle Monae,0,43250,7,76,R&B,45
Bebe Rexha,0,52122,8,87,Rock,45
Florida Georgia Line,1,65184,8,85,Country,45
J Balvin,0,87893,10,95,Hip-Hop/Rap,45
Janelle Monae,1,192294,7,76,R&B,45
Kenny Chesney,1,202824,6,76,Country,45
Lynyrd Skynyrd,1,447841,9,74,Rock,45
Childish Gambino,0,634464,10,87,Hip-Hop/Rap,45
Maroon,1,634464,9,88,Rock,45
Migos,0,634464,9,90,Hip-Hop/Rap,45
Childish Gambino,0,645966,9,87,Hip-Hop/Rap,45
Maroon,1,645966,10,88,Rock,45
The Chainsmokers,0,1553165,6,88,Dance/Electronic,45
Chris Stapleton,0,52122,11,80,Country,44.75
Childish Gambino,0,196021,10,87,Hip-Hop/Rap,44.75
Foster The People,0,316381,7,77,Rock,44.5
Camila Cabello,0,447841,8,88,Rock,44.5
Taylor Swift,0,447841,8,89,Rock,44.5
